| OpenMP mode | # teams | # threads | # threads per team | # particles | # calculations | average calculation time (s) | average total time (s) |
| gpu         | 1       | 8         | 8                  | 1000000     | 100            | 4.742258e-02                 | 7.461393e-02           |
| gpu         | 2       | 16        | 8                  | 1000000     | 100            | 2.356964e-02                 | 5.089041e-02           |
| gpu         | 3       | 24        | 8                  | 1000000     | 100            | 1.585262e-02                 | 4.315621e-02           |
| gpu         | 4       | 32        | 8                  | 1000000     | 100            | 1.193953e-02                 | 3.905366e-02           |
| gpu         | 5       | 40        | 8                  | 1000000     | 100            | 1.028314e-02                 | 3.752198e-02           |
| gpu         | 6       | 48        | 8                  | 1000000     | 100            | 1.012851e-02                 | 3.739375e-02           |
| gpu         | 7       | 56        | 8                  | 1000000     | 100            | 9.493061e-03                 | 3.692124e-02           |
| gpu         | 8       | 64        | 8                  | 1000000     | 100            | 8.333410e-03                 | 3.562957e-02           |
| gpu         | 9       | 72        | 8                  | 1000000     | 100            | 7.425655e-03                 | 3.486592e-02           |
| gpu         | 10      | 80        | 8                  | 1000000     | 100            | 6.695618e-03                 | 3.400986e-02           |
| gpu         | 11      | 88        | 8                  | 1000000     | 100            | 6.104147e-03                 | 3.339212e-02           |
| gpu         | 12      | 96        | 8                  | 1000000     | 100            | 5.612993e-03                 | 3.287145e-02           |
| gpu         | 13      | 104       | 8                  | 1000000     | 100            | 5.191487e-03                 | 3.254666e-02           |
| gpu         | 14      | 112       | 8                  | 1000000     | 100            | 4.832647e-03                 | 3.208418e-02           |
| gpu         | 15      | 120       | 8                  | 1000000     | 100            | 4.523146e-03                 | 3.178668e-02           |
| gpu         | 16      | 128       | 8                  | 1000000     | 100            | 4.250454e-03                 | 3.150319e-02           |
| gpu         | 17      | 136       | 8                  | 1000000     | 100            | 4.010046e-03                 | 3.129713e-02           |
| gpu         | 18      | 144       | 8                  | 1000000     | 100            | 3.796967e-03                 | 3.114113e-02           |
| gpu         | 19      | 152       | 8                  | 1000000     | 100            | 3.607308e-03                 | 3.090074e-02           |
| gpu         | 20      | 160       | 8                  | 1000000     | 100            | 3.439817e-03                 | 3.070363e-02           |
| gpu         | 21      | 168       | 8                  | 1000000     | 100            | 3.284964e-03                 | 3.061394e-02           |
| gpu         | 22      | 176       | 8                  | 1000000     | 100            | 3.158262e-03                 | 3.048037e-02           |
| gpu         | 23      | 184       | 8                  | 1000000     | 100            | 3.036738e-03                 | 3.032102e-02           |
| gpu         | 24      | 192       | 8                  | 1000000     | 100            | 2.918687e-03                 | 3.022799e-02           |
| gpu         | 25      | 200       | 8                  | 1000000     | 100            | 2.815267e-03                 | 3.029159e-02           |
| gpu         | 26      | 208       | 8                  | 1000000     | 100            | 2.718148e-03                 | 3.004355e-02           |
| gpu         | 27      | 216       | 8                  | 1000000     | 100            | 2.637356e-03                 | 2.996352e-02           |
| gpu         | 28      | 224       | 8                  | 1000000     | 100            | 2.549355e-03                 | 2.986104e-02           |
| gpu         | 29      | 232       | 8                  | 1000000     | 100            | 2.478085e-03                 | 2.977428e-02           |
